Date,Open,High,Low,Close,Volume
2017-03-24T00:00:00.000000Z,110.934,111.485,110.626,111.321,1000000
2017-03-27T00:00:00.000000Z,110.926,111.054,110.114,110.669,1000000
2017-03-28T00:00:00.000000Z,110.652,111.202,110.182,111.140,1000000
2017-03-29T00:00:00.000000Z,111.174,111.318,110.714,111.048,1000000
2017-03-30T00:00:00.000000Z,111.034,111.944,110.942,111.920,1000000
2017-03-31T00:00:00.000000Z,111.900,112.202,111.244,111.388,1000000
2017-04-03T00:00:00.000000Z,111.444,111.592,110.854,110.902,1000000
2017-04-04T00:00:00.000000Z,110.934,110.945,110.272,110.740,1000000
2017-04-05T00:00:00.000000Z,110.754,111.453,110.539,110.698,1000000
2017-04-06T00:00:00.000000Z,110.696,111.146,110.290,110.801,1000000
2017-04-07T00:00:00.000000Z,110.798,111.370,110.136,111.070,1000000
2017-04-10T00:00:00.000000Z,111.086,111.578,110.806,110.930,1000000
2017-04-11T00:00:00.000000Z,110.947,110.952,109.604,109.606,1000000
2017-04-12T00:00:00.000000Z,109.624,109.870,108.960,109.019,1000000
2017-04-13T00:00:00.000000Z,109.038,109.392,108.730,109.102,1000000
2017-04-14T00:00:00.000000Z,109.164,109.236,108.554,108.646,1000000
2017-04-17T00:00:00.000000Z,108.751,109.054,108.129,108.903,1000000
2017-04-18T00:00:00.000000Z,108.892,109.225,108.326,108.428,1000000
2017-04-19T00:00:00.000000Z,108.408,109.180,108.380,108.854,1000000
2017-04-20T00:00:00.000000Z,108.866,109.492,108.721,109.314,1000000
2017-04-21T00:00:00.000000Z,109.327,109.423,108.880,109.067,1000000
2017-04-24T00:00:00.000000Z,110.611,110.631,109.664,109.769,1000000
2017-04-25T00:00:00.000000Z,109.779,111.190,109.596,111.088,1000000
2017-04-26T00:00:00.000000Z,111.072,111.782,110.871,111.064,1000000
2017-04-27T00:00:00.000000Z,111.066,111.602,111.017,111.264,1000000
2017-04-28T00:00:00.000000Z,111.267,111.719,111.070,111.509,1000000
2017-05-01T00:00:00.000000Z,111.281,111.932,111.212,111.834,1000000
2017-05-02T00:00:00.000000Z,111.828,112.307,111.779,111.992,1000000
2017-05-03T00:00:00.000000Z,111.988,112.782,111.964,112.763,1000000
2017-05-04T00:00:00.000000Z,112.771,113.050,112.316,112.456,1000000
2017-05-05T00:00:00.000000Z,112.450,112.810,112.092,112.686,1000000
2017-05-08T00:00:00.000000Z,112.939,113.299,112.394,113.246,1000000
2017-05-09T00:00:00.000000Z,113.248,114.332,113.135,114.007,1000000
2017-05-10T00:00:00.000000Z,113.967,114.379,113.625,114.277,1000000
2017-05-11T00:00:00.000000Z,114.276,114.366,113.460,113.866,1000000
2017-05-12T00:00:00.000000Z,113.836,113.957,113.198,113.338,1000000
2017-05-15T00:00:00.000000Z,113.197,113.855,113.146,113.798,1000000
2017-05-16T00:00:00.000000Z,113.775,113.802,112.929,113.117,1000000
2017-05-17T00:00:00.000000Z,113.104,113.148,110.790,110.832,1000000
2017-05-18T00:00:00.000000Z,110.806,111.742,110.240,111.482,1000000
2017-05-19T00:00:00.000000Z,111.538,111.698,111.034,111.227,1000000
2017-05-22T00:00:00.000000Z,111.058,111.610,110.931,111.292,1000000
2017-05-23T00:00:00.000000Z,111.289,111.856,110.865,111.782,1000000
2017-05-24T00:00:00.000000Z,111.768,112.128,111.484,111.489,1000000
2017-05-25T00:00:00.000000Z,111.486,111.950,111.485,111.832,1000000
2017-05-26T00:00:00.000000Z,111.778,111.864,110.878,111.304,1000000
2017-05-29T00:00:00.000000Z,111.276,111.466,111.158,111.258,1000000
2017-05-30T00:00:00.000000Z,111.252,111.330,110.663,110.857,1000000
2017-05-31T00:00:00.000000Z,110.858,111.230,110.480,110.778,1000000
2017-06-01T00:00:00.000000Z,110.742,111.482,110.670,111.370,1000000
2017-06-02T00:00:00.000000Z,111.339,111.713,110.330,110.395,1000000
2017-06-05T00:00:00.000000Z,110.359,110.733,110.312,110.474,1000000
2017-06-06T00:00:00.000000Z,110.463,110.533,109.225,109.416,1000000
2017-06-07T00:00:00.000000Z,109.389,109.886,109.116,109.822,1000000
2017-06-08T00:00:00.000000Z,109.826,110.387,109.382,109.996,1000000
2017-06-09T00:00:00.000000Z,110.040,110.816,109.752,110.294,1000000
2017-06-12T00:00:00.000000Z,110.342,110.440,109.632,109.941,1000000
2017-06-13T00:00:00.000000Z,109.938,110.270,109.815,110.066,1000000
2017-06-14T00:00:00.000000Z,110.054,110.342,108.815,109.564,1000000
2017-06-15T00:00:00.000000Z,109.587,110.981,109.273,110.946,1000000
2017-06-16T00:00:00.000000Z,110.951,111.420,110.644,110.890,1000000
2017-06-19T00:00:00.000000Z,110.914,111.602,110.756,111.536,1000000
2017-06-20T00:00:00.000000Z,111.540,111.793,111.310,111.462,1000000
2017-06-21T00:00:00.000000Z,111.463,111.740,111.072,111.374,1000000
2017-06-22T00:00:00.000000Z,111.358,111.446,110.954,111.318,1000000
2017-06-23T00:00:00.000000Z,111.304,111.434,111.157,111.299,1000000
2017-06-26T00:00:00.000000Z,111.172,111.942,111.146,111.864,1000000
2017-06-27T00:00:00.000000Z,111.835,112.468,111.462,112.341,1000000
2017-06-28T00:00:00.000000Z,112.326,112.414,111.829,112.300,1000000
2017-06-29T00:00:00.000000Z,112.296,112.928,111.810,112.164,1000000
2017-06-30T00:00:00.000000Z,112.184,112.608,111.730,112.412,1000000
2017-07-03T00:00:00.000000Z,112.102,113.474,112.093,113.390,1000000
2017-07-04T00:00:00.000000Z,113.422,113.471,112.738,113.288,1000000
2017-07-05T00:00:00.000000Z,113.273,113.689,112.829,113.258,1000000
2017-07-06T00:00:00.000000Z,113.279,113.468,112.885,113.206,1000000
2017-07-07T00:00:00.000000Z,113.178,114.178,113.104,113.928,1000000
2017-07-10T00:00:00.000000Z,113.893,114.302,113.893,114.033,1000000
2017-07-11T00:00:00.000000Z,114.054,114.498,113.717,113.934,1000000
2017-07-12T00:00:00.000000Z,113.935,113.972,112.931,113.174,1000000
2017-07-13T00:00:00.000000Z,113.154,113.532,112.862,113.280,1000000
2017-07-14T00:00:00.000000Z,113.273,113.576,112.258,112.516,1000000
2017-07-17T00:00:00.000000Z,112.460,112.864,112.332,112.622,1000000
2017-07-18T00:00:00.000000Z,112.617,112.709,111.684,112.072,1000000
2017-07-19T00:00:00.000000Z,112.097,112.234,111.560,111.957,1000000
2017-07-20T00:00:00.000000Z,111.929,112.420,111.484,111.915,1000000
2017-07-21T00:00:00.000000Z,111.920,112.081,111.014,111.135,1000000
2017-07-24T00:00:00.000000Z,111.119,111.320,110.623,111.104,1000000
2017-07-25T00:00:00.000000Z,111.108,111.958,110.830,111.888,1000000
2017-07-26T00:00:00.000000Z,111.906,112.202,111.062,111.180,1000000
2017-07-27T00:00:00.000000Z,111.175,111.713,110.782,111.254,1000000
